time,q1 (top-left),q2 (bottom-left),q3 (top-right),q4 (bottom-right)
0.0,10.677078252031311,10.677078252031311,7.3484692283495345,7.3484692283495345
0.03155778894472362,10.30391578624927,11.006841350486077,6.935530974422327,7.942384143431035
0.06311557788944724,9.846942789215678,11.221808192718479,6.674892154205862,8.57443188149255
0.09467336683417087,9.3289280042486,11.31661626157722,6.605006701085022,9.201250970640801
0.1262311557788945,8.779003894796123,11.290339849298874,6.738365909019123,9.788076402013408
0.1577889447236181,8.233213242340454,11.146447699777267,7.056570680802966,10.307894343811823
0.18934673366834173,7.7342997545028975,10.892868687818972,7.517968331890258,10.740346521265886
0.22090452261306537,7.32946619249907,10.54216081452534,8.071383633411429,11.070831663882739
0.252462311557789,7.064436364256701,10.111783448807058,8.667147686953593,11.289878316368204
0.2840201005025126,6.973433919540535,9.624454084537783,9.262469756735912,11.392746893950772
0.3155778894472362,7.068601210164303,9.108502278523206,9.822756816034154,11.379202175744643
0.34713567839195986,7.335638129897292,8.597969017098878,10.321131667162694,11.253410298087323
0.37869346733668346,7.739146763748564,8.131894790190104,10.737491731080173,11.023930738302749
0.4102512562814071,8.233581625702033,7.7518572669568755,11.057647461347067,10.70378400751852
0.44180904522613074,8.773078066968143,7.496770372846694,11.2726769676378,10.310572887613288
0.47336683417085434,9.317035270998888,7.395077379593658,11.37848557145552,9.866608186654721
0.504924623115578,9.832084641396355,7.457015657748162,11.375522766589066,9.398920807066379
0.5364824120603016,10.292140285549968,7.671417644756411,11.268610751154768,8.938908506293162
0.5680402010050252,10.677764952159617,8.009362640725184,11.066847617383655,8.521170208572663
0.5995979899497488,10.975446520162935,8.432257790685208,10.783551780893406,8.180925017552969
0.6311557788944724,11.176991389388768,8.899822347010533,10.436204732279071,7.94959561889292
0.6627135678391961,11.279068614467276,9.375307123715725,10.04631874314262,7.849045492475679
0.6942713567839197,11.282879089625892,9.827872416034012,9.639096465600149,7.886437494069822
0.7258291457286433,11.19391001930449,10.233168774347938,9.242660440061288,8.052384345911353
0.7573869346733669,11.021733331246534,10.5730929516154,8.886544507293205,8.323602718684466
0.7889447236180905,10.779802704252544,10.835287313679995,8.59915626981979,8.668609656696116
0.8205025125628141,10.485190092423576,11.012632617622822,8.404207883500407,9.053705100430594
0.8520603015075378,10.158175331566813,11.10281133434742,8.316758695613316,9.447347175811881
0.8836180904522615,9.821563630327066,11.107942185311176,8.340221213948734,9.822553504321203
0.9151758793969851,9.499571206521171,11.03425664306668,8.46573793601709,10.157838616487956
0.9467336683417087,9.216129760640383,10.891775199580474,8.674340130770567,10.437331839964257
0.9782914572864323,8.99258137384716,10.693930651915425,8.940927555195103,10.650531375004745
1.009849246231156,8.84501379942478,10.45707192163432,9.238497138226546,10.791937427322221
1.0414070351758795,8.781851695141041,10.199766438067375,9.541472852657417,10.860663902067522
1.0729648241206031,8.802522098952707,9.941811848151989,9.827789632642775,10.860049566414753
1.1045226130653267,8.89777691096896,9.702889486159684,10.07992920990024,10.7972498026051
1.1360804020100503,9.051615036320479,9.500870074839836,10.28526874002257,10.682768857732045
1.167638190954774,9.244127368056024,9.349930575784231,10.436045791852097,10.529879521854765
1.1991959798994976,9.454402321090464,9.258824560552661,10.52912781176047,10.353870844782653
1.2307537688442212,9.66288468880055,9.22976239852127,10.565675982846129,10.171070858006669
1.2623115577889448,9.852977362968987,9.258280201401186,10.55072786751523,9.9976221126246
1.2938693467336686,10.011958150411344,9.334188436099367,10.492683792119927,9.848054676759224
1.3254271356783922,10.131390886810356,9.443338300258462,10.402660454614953,9.733802005680731
1.3569849246231158,10.207199506863686,9.569732457722814,10.293668996080374,9.661908659283712
1.3885427135678394,10.239517636177382,9.697526153193959,10.179587322078886,9.634224936035194
1.420100502512563,10.232367103686922,9.812639480810828,10.07393464024836,9.64731652698039
1.4516582914572866,10.19317252323372,9.90389512710788,9.988522810244508,9.693139869573695
1.4832160804020103,10.13208988050644,9.963721721614826,9.932142194823866,9.760325495459604
1.5147738693467339,10.061117793569085,9.98850813816121,9.909505719832172,9.835776897704969
1.5463316582914575,9.992976459855194,9.97868468326209,9.920678716449823,9.906282636578155
1.577889447236181,9.93978709503514,9.938572871580677,9.961137793871032,9.959926173299586
1.6094472361809047,9.911661179355553,9.87600660034119,10.022452343804076,9.987193300395395
1.6410050251256283,9.915392125145782,9.801696510698065,10.093434125682231,9.981766674387567
1.672562814070352,9.95348974289933,9.728297390098344,10.16151993469046,9.941041164350125
1.7041206030150755,10.023767406387355,9.66915913805216,10.21416093039167,9.866397971476912
1.7356783919597991,10.11957495922897,9.636806857996222,10.240061944067005,9.763253437312704
1.767236180904523,10.230612060880677,9.641301377336267,10.230198534948856,9.64086257410916
1.7987939698492466,10.344130058953292,9.688742506167522,10.178604525782404,9.511818688692205
1.8303517587939702,10.446286309730763,9.780228151693338,10.082955967599347,9.391164255770091
1.8619095477386938,10.523451905259593,9.911515507734928,9.94498146409164,9.29503932099722
1.8934673366834174,10.563352855656548,10.073451638231946,9.770710030751655,9.238873246220102
1.925025125628141,10.556003308124742,10.253032940814341,9.570530527589751,9.23528739259428
1.9565829145728646,10.494443564900905,10.434819567485663,9.358983749892909,9.292076759253078
1.9881407035175882,10.37532150266914,10.602419037217123,9.154147244724802,9.410760061498655
2.019698492462312,10.199359330960188,10.739833569229763,8.97643003203315,9.58610402888976
2.0512562814070354,9.971734446483559,10.832574038983545,8.84662682279305,9.806731289305063
2.082814070351759,9.702374319685152,10.86853079506908,8.783264303494393,10.056571285936268
2.1143718592964826,9.406115369758048,10.838641285108864,8.799625199670974,10.316711792657202
2.1459296482412062,9.102595752768154,10.737412612007057,8.901210130237613,10.567228678552391
2.17748743718593,8.815641578549078,10.563356611842382,9.084481039149644,10.788733114605268
2.2090452261306535,8.571802252370965,10.319385420782833,9.337320417028328,10.963552078554077
2.240603015075377,8.397708073228904,10.013199505177687,9.640946927581005,11.076575333005703
2.2721608040201007,8.316246585111509,9.657672422662129,9.972536049325806,11.115851501984563
2.3037185929648243,8.342259957447858,9.27118243017855,10.307777564273596,11.073021302722923
2.335276381909548,8.479198717148902,8.877736347492021,10.622917250736654,10.943663129257944
2.3668341708542715,8.718170397866478,8.50655368722369,10.896177014928302,10.727610828513283
